user,content,like,time
光影相生-,"很开心又看到豹豹玩了一把完美鸡煲的爽局。作为mod制作者，最开心的事儿就是看到玩家玩得爽玩得开心。
后续会新加入5张好玩儿的卡，预计10月8日左右更新，到时候又给豹豹点播[星星眼]
大家玩得开心的话，可以动动发财的小手在Steam给mod一个好评并且在steam留下评论吗？再次感谢大家的赏玩",82,2024-10-05 12:05:27
了不起的Leon,录播20241009最后一个录播，鸡煲第25:28，出现杀戮尖塔是一款横板过关游戏的又一佐证，望周知。,2,2024-10-12 15:06:46
