user,content,like,time
孟庭苇的收藏夹,"2021年12月11日，鸡煲第107局。面对重击老头，光头使出全身解数仍无济于事，最终投子认负，尖塔大战以机器人止于106连胜告终。距今387天，
望周知",427,2023-01-02 10:15:04
Easonade,2023年1月17日，鸡煲第25局。面对带壳蘑菇，鸡宝骑的自行车终于不堪重负爆胎，尖塔大战以机器人连胜清零告终。距今1天，警钟长鸣。,182,2023-01-18 08:48:59
我是洛伦磁力,一觉醒来，鸡煲寄了（喜）,6,2023-01-18 03:25:09
