user,content,like,time
Clover丶苜蓿,2023年5月27日9点48分，光头在冲击鸡煲15连胜时一路胡牌，自信满满的机器人在遇到矛盾时典中典鬼抽化身寄气人狂掉60血，最后倒在心脏第二回合67底下，距今已3分钟，警钟撅烂，望周知[傲娇],98,2023-05-27 21:50:54
小毛怪呀,"鸡煲：待那红色裤头出了一层 便将他未来牌堆里的黑拥无惧全部换成铁斩波

发牌人：嗯

“在多给他搞几个交锋”

发牌人：enen

“再一张AOE都不发 派三奴隶和蛇女去招待他”

发牌人：嗯嗯嗯嗯嗯

鸡煲：这发牌员怎么回事？？算了 是我多虑 冲15连胜去了",52,2023-05-28 22:29:01
底盒齐,鸡煲NTR重编程那局竟然没录进来,22,2023-05-24 10:36:26
陆槿安,"分享下点播小作文
«关于我转生变成壳爹这档事»
初出茅庐的战士哥一抓金属化，带着0力量的死亡收割，很自然地在二层扑街了。雪上加霜的是，那天涅奥忙于和心脏对骂，一时间忘记把他捞回来……
不知过了多长时间，战士哥悠悠醒转，却发现身边围了一圈带壳寄生怪。他大惊失色，但是寄生怪们似乎把他当成同伴，只是友好地蹭蹭他的身子，任由他抚摸它们。从此，战士哥就和它们幸福地生活在一起，亲密无间。
又过了很久，他回到塔底，变强了，也失去了自我。他再也无法认出曾经亲密无间的猎人和鸡煲，即便二人还在徒劳地寻找他。虽然他攀登的执念依旧，但这一次和涅奥没有关系，而是带着同胞打败紫色入侵者的战利品，带着蘑菇的祝福，前去讨伐欠薪的心脏。",18,2023-06-01 01:54:42
小毛怪呀,观者和鸡煲连胜加起来甚至不到战士零头 警钟长鸣,12,2023-05-28 22:10:42
不用泥骨钉,可怜的鸡煲啊。。,6,2023-05-28 19:27:43
陆槿安,给鸡煲点的希望之花，并没有带来希望[大哭],3,2023-05-28 11:35:10
鱼请直接做刺身,封面是流水线生产鸡煲,0,2023-05-24 11:05:47
