user,content,like,time
星野岚川,"遥想三月的时候，战士和鸡煲在反复暴毙（主要是鸡煲），而猎宝和观者则分别以200多和100多连胜遥遥领先。而仅仅过了一个多月的时间，形式大逆转——猎宝和观者在反复暴毙（主要是猎宝），反观鸡煲已经成功打破连胜不超过20的诅咒，令人感慨。

附最近一个多月的暴毙记录：
0406  无集中暴毙机 （二层）
0412 被转盘一刀贼 （一层）
0506 表面爽种观 （二层）
0513 尊重六火但还是没打过贼 （一层）
0527 毒种贼 （二层）",52,2024-05-28 13:50:08
肉肉得我心,无sl观29分钟难掩颓势，无sl鸡煲49分钟尽显风采[墨镜],7,2024-05-25 12:39:52
红萌馆の管家,鸡煲:不是，你们玩个游戏，一局游戏只能玩11分钟有什么意思啊？啊！,7,2024-05-24 23:08:51
咸某鱼OvO,突然来了兴致打了一把鸡煲进阶5，然后被六火送回塔底…,7,2024-05-24 12:00:35
是羽然然,流水线制作鸡煲是吧,3,2024-05-24 11:13:53
我吃你们,这是什么奇怪bug，我的鸡煲矛盾鬼抽出来进阶都没了,1,2024-06-01 21:30:29
第五棵树,我要启动一个鸡煲笑话,1,2024-05-24 16:55:09
郝伊丽莎白豆豆,鸡煲流水线,0,2024-05-24 11:59:58
