user,content,like,time
冰原蓝光,"2023年3月16日，鸡煲第26局。面对208费一血鸡煲，心脏使出全身解数仍无济于事，最终投子认负，尖塔大战以机器人26连胜继续。距今1天，
望周知",102,2023-03-17 18:45:53
小毛怪呀,"奖励观

是用来励星光的点播

观者 开局获得一个祝福和诅咒 当日连胜最快角色为祝福 最慢为诅咒

战士的祝福：获得熔火之蛋并自选战士金卡一张
诅咒：获得4个交锋

劣人的祝福：获得幽魂形态 
诅咒：获得5张华丽收场

鸡煲的祝福：获得偏差认知
诅咒：获得7张雷暴

观者的祝福：祝星光身体健康
诅咒：获得一个地精的脸",55,2023-03-02 12:33:36
雨宫Mizutsuki,"2023年3月19日，鸡煲第29局。面对第一回合虚弱就掉重编一张没有的发牌，机宝使出全身解数最高甲依然无法抵挡心脏重击，最终投子认负，死于心脏，警钟长鸣。
望周知",26,2023-03-20 12:27:40
蒙斯特之夏,太长不敢看折磨局，为什么鸡煲120分钟靠全息起甲？,16,2023-03-17 05:06:35
谦斯特抑抑,鸡煲128分钟草，看到昏迷,7,2023-03-17 11:13:08
锦瑟采薇,0316鸡煲太强了[抱拳][抱拳][抱拳][抱拳][支持][支持][支持][支持][跪了][跪了][跪了][跪了],1,2023-03-18 06:29:44
AliceFitzXVI,鸡煲的老爷车还跑不过红裤衩（红裤衩没有红裤衩了）,0,2023-03-02 11:05:11
