user,content,like,time
不故障机器人,33分钟观者毒种略显颓势，7小时鸡煲爽种一路乱杀,508,2024-05-22 11:03:33
_怨念_,鸡煲爽种睡晚上的 观者毒种还没睡着就打完了,14,2024-05-22 11:17:25
LonelyStalker,真是杂鱼职业呢，一个毒种的时间只够我们鸡煲爽半局的,26,2024-05-22 11:02:26
小呆唯ぺ,这几个观者毒种都40分钟解决战斗呀，打着打着就爽起来了，猎人和鸡煲的毒种好有意思，一个能各种运转一个疯狂找随机数，战士自己玩的也少看的也少，刻板印象就是玩到后面总成烧牌的,1,2024-05-23 16:15:23
