user,content,like,time
17117243811_bili,"2023.8.6光头加班始末
一位机妈妈在点播10个鸡煲小灶后，又点了10个观姐。
一位战士哥爱好者紧随其后，又点了10局。
是谁最后才被加餐我不说（
感谢后面的老板治好了我的强迫症
还有两位老板包场了8.7 8.8的音乐
一位尚在犹豫的老板预存了10个点播",76,2023-08-07 11:04:02
鸦冬,一定是鸡煲干的，鸡煲嫉妒观姐跟在他的后面，出钱买通2层小怪。把观者打到在地，抓回去调教成（）努力啊！,34,2023-08-15 21:10:04
故障゙゙゙机器人,四十个点播绷不住了，看的乐死我了[大笑]等我有钱我点日常局跳十把鸡煲,14,2023-08-07 04:43:35
曳飞无际,鸡煲用卑劣的手段收买地精对观者下手后，尖塔一姐终究降下了她的神罚（误）。鸡煲，我的鸡煲[委屈][委屈],10,2023-08-19 19:45:40
行走于人间奇迹,速报，鸡煲，死于鬼抽觉醒者,2,2023-08-19 17:22:54
